Ticker,Trailing P/E,Forward P/E,P/B,PEG Ratio,ROE,ROA,Debt/Equity,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Gross Margin,Revenue Growth,Earnings Growth,Trailing EPS,Forward EPS,Market Cap,Enterprise Value,Dividend Yield,Payout Ratio,Beta,Sector,Industry,Shares Outstanding,Float Shares,Book Value Per Share,P/S,EV/Revenue,EV/EBITDA,Insider Ownership,Institutional Ownership,Short Ratio,Most Recent Quarter,Earnings Date
AME,36.915623,27.09935,5.091152,2.96,0.14594,0.07882,24.194,1.062,0.573,0.19999,0.27523002,0.36383,0.134,0.036,6.4,8.71829,54118993920,56211709952.0,0.58,0.19379999,1.041,Industrials,Specialty Industrial Machinery,229065429,227617077.0,46.406,7.3122745,7.595,23.834,0.0043,0.92652,2.14,2025-12-31,2026-04-30
AME,35.854763,26.908611,4.974811,3.07,0.14626999,0.0801,22.489,1.138,0.608,0.20108,0.26299,0.36681,0.113,0.145,6.61,8.80759,54321111040,56295493632.0,0.57,0.1918,0.99,Industrials,Specialty Industrial Machinery,229203002,227820908.0,47.64,7.1497893,7.41,23.26,0.00386,0.92521006,2.67,2026-03-31,2026-08-04
AMGN,24.933332,15.256849,22.110895,2.38,1.0610299,0.07931,640.275,1.14,0.734,0.20982,0.30549,0.70783997,0.086,1.121,14.25,23.2879,191530729472,237836746752.0,2.84,0.669,0.465,Healthcare,Drug Manufacturers - General,539067675,537622974.0,16.069,5.211579,6.472,14.313,0.0022200001,0.85256,5.43,2025-12-31,2026-04-30
AMGN,25.507662,15.622249,21.511042,2.01,1.01318,0.08347999,623.754,1.261,0.849,0.20955999,0.33800998,0.71443003,0.058,0.044,14.36,23.44669,197689753600,242974736384.0,2.75,0.6722,0.403,Healthcare,Drug Manufacturers - General,539708274,538224076.0,17.028,5.311385,6.528,14.362,0.0021600001,0.86515,4.09,2026-03-31,2026-08-04
AMP,12.5778885,9.875773,6.357391,1.54,0.60508,0.02266,57.597,2.29,1.46,0.18841,0.35347998,0.56184,0.086,-0.011,36.27,46.19385,42383585280,35271860224.0,1.4,0.1731,1.266,Financial Services,Asset Management,90689669,90837076.0,71.759,2.2412133,1.865,,0.0016699999,0.90417,3.97,2025-12-31,2026-04-23
AMP,13.157278,10.588349,7.6546164,1.76,0.66936,0.024260001,56.246,2.483,1.616,0.20165001,0.37188,0.56601,0.09,0.66,40.12,49.85385,47453974528,42451972096.0,1.29,0.1595,1.159,Financial Services,Asset Management,89897084,89533900.0,68.961,2.4567184,2.198,,0.0019200001,0.92119,4.85,2026-03-31,2026-07-23
AMT,33.77037,26.278172,23.28099,2.02,0.2628,0.04895,434.211,0.397,0.342,0.23763001,0.44942,0.74183,0.075,-0.332,5.4,6.9396,85047246848,135187128320.0,3.78,1.2593,0.93,Real Estate,REIT - Specialty,466370068,464681905.0,7.833,7.9897084,12.7,19.57,0.00086000003,0.9622,2.15,2025-12-31,2026-04-28
AMT,27.384863,24.799559,22.497684,1.77,0.29952,0.04911,444.55,0.304,0.264,0.26806998,0.45907003,0.73964,0.068,0.769,6.21,6.85738,79229771776,129381679104.0,4.1,0.8226,0.909,Real Estate,REIT - Specialty,465893069,464383575.0,7.559,7.3230033,11.958,18.511,0.00077,0.9661,2.13,2026-03-31,2026-07-28
AMZN,34.945606,26.583656,6.541012,1.81,0.22286,0.06928,43.435,1.051,0.844,0.108339995,0.10533,0.50286,0.136,0.05,7.17,9.42534,2694585253888,2745259786240.0,,0.0,1.383,Consumer Cyclical,Internet Retail,10754251799,9756110785.0,38.306,3.7585368,3.829,18.838,0.08944,0.67116,2.02,2025-12-31,2026-04-29
AMZN,29.572968,24.94745,6.016353,1.3,0.24285,0.06845,53.3,1.177,0.974,0.12224,0.1314,0.50604,0.166,0.748,8.36,9.91003,2659480240128,2751931088896.0,,0.0,1.461,Consumer Cyclical,Internet Retail,10757109436,9779718473.0,41.093,3.5804608,3.705,17.656,0.08899,0.68411005,1.6,2026-03-31,2026-07-30
