Ticker,GICS_Sector,Source
TJX,Consumer Discretionary,gics-constituents
TKO,Communication Services,gics-constituents
TKR,Industrials,manual-delisted-besteffort
TLAB,Information Technology,manual-delisted-besteffort
TMO,Health Care,gics-constituents
TMUS,Communication Services,gics-constituents
TPL,Energy,gics-constituents
TPR,Consumer Discretionary,gics-constituents
TRGP,Energy,gics-constituents
TRMB,Information Technology,gics-constituents
TROW,Financials,gics-constituents
TRV,Financials,gics-constituents
TSCO,Consumer Discretionary,gics-constituents
TSLA,Consumer Discretionary,gics-constituents
TSN,Consumer Staples,gics-constituents
TT,Industrials,gics-constituents
TTD,Communication Services,gics-constituents
TTWO,Communication Services,gics-constituents
TWX,Communication Services,manual-delisted-besteffort
TX,Energy,manual-delisted-besteffort
TXN,Information Technology,gics-constituents
TXT,Industrials,gics-constituents
TYL,Information Technology,gics-constituents
UAL,Industrials,gics-constituents
UBER,Industrials,gics-constituents
UCC,Materials,manual-delisted-besteffort
UDR,Real Estate,gics-constituents
UHS,Health Care,gics-constituents
UIS,Information Technology,manual-delisted-besteffort
ULTA,Consumer Discretionary,gics-constituents
UNH,Health Care,gics-constituents
UNM,Financials,manual-delisted-besteffort
UNP,Industrials,gics-constituents
UPS,Industrials,gics-constituents
URBN,Consumer Discretionary,manual-delisted-besteffort
URI,Industrials,gics-constituents
USB,Financials,gics-constituents
UST,Consumer Staples,manual-delisted-besteffort
UVN,Communication Services,manual-delisted-besteffort
V,Financials,gics-constituents
VEEV,Health Care,gics-constituents
VFC,Consumer Discretionary,manual-delisted-besteffort
VIAV,Information Technology,manual-delisted-besteffort
VICI,Real Estate,gics-constituents
VLO,Energy,gics-constituents
VLTO,Industrials,gics-constituents
VMC,Materials,gics-constituents
VNO,Real Estate,manual-delisted-besteffort
VO,Consumer Staples,manual-delisted-besteffort
VRSK,Industrials,gics-constituents
VRSN,Information Technology,gics-constituents
VRT,Industrials,gics-constituents
VRTS,Financials,manual-delisted-besteffort
VRTX,Health Care,gics-constituents
VST,Utilities,gics-constituents
VTR,Real Estate,gics-constituents
VTRS,Health Care,gics-constituents
VZ,Communication Services,gics-constituents
WAB,Industrials,gics-constituents
WAT,Health Care,gics-constituents
WBD,Communication Services,gics-constituents
WDAY,Information Technology,gics-constituents
WDC,Information Technology,gics-constituents
WEC,Utilities,gics-constituents
WELL,Real Estate,gics-constituents
WEN,Consumer Discretionary,manual-delisted-besteffort
WFC,Financials,gics-constituents
WHR,Consumer Discretionary,manual-delisted-besteffort
WM,Industrials,gics-constituents
WMB,Energy,gics-constituents
WMT,Consumer Staples,gics-constituents
WOR,Materials,manual-delisted-besteffort
WRB,Financials,gics-constituents
WSM,Consumer Discretionary,gics-constituents
WST,Health Care,gics-constituents
WTW,Financials,gics-constituents
WU,Financials,manual-delisted-besteffort
WY,Real Estate,gics-constituents
WYNN,Consumer Discretionary,gics-constituents
XEL,Utilities,gics-constituents
XOM,Energy,gics-constituents
XRAY,Health Care,manual-delisted-besteffort
XRX,Information Technology,manual-delisted-besteffort
XYL,Industrials,gics-constituents
XYZ,Financials,gics-constituents
YUM,Consumer Discretionary,gics-constituents
ZBH,Health Care,gics-constituents
ZBRA,Information Technology,gics-constituents
ZION,Financials,manual-delisted-besteffort
ZTS,Health Care,gics-constituents
